選舉年度,選舉別,選舉概況表_url,候選人得票明細_url,候選人資歷統計_pdf,當選人資歷統計_pdf,政黨得票統計_pdf,政黨候選人數與當選席次_pdf
2010,第 01 屆 直轄市新北市議員選舉,,,https://vote.nccu.edu.tw/cec/E2010653.PDF,https://vote.nccu.edu.tw/cec/E2010654.PDF,https://vote.nccu.edu.tw/cec/E2010655.PDF,https://vote.nccu.edu.tw/cec/E2010656.PDF
2010,第 01 屆 直轄市台中市議員選舉,,,https://vote.nccu.edu.tw/cec/E2010663.PDF,https://vote.nccu.edu.tw/cec/E2010664.PDF,https://vote.nccu.edu.tw/cec/E2010665.PDF,https://vote.nccu.edu.tw/cec/E2010666.PDF
2010,第 01 屆 直轄市台南市議員選舉,,,https://vote.nccu.edu.tw/cec/E2010673.PDF,https://vote.nccu.edu.tw/cec/E2010674.PDF,https://vote.nccu.edu.tw/cec/E2010675.PDF,https://vote.nccu.edu.tw/cec/E2010676.PDF
2014,第 12屆 台北市議員選舉,,,https://vote.nccu.edu.tw/cec/E2014633.PDF,https://vote.nccu.edu.tw/cec/E2014634.PDF,https://vote.nccu.edu.tw/cec/E2014635.PDF,https://vote.nccu.edu.tw/cec/E2014636.PDF
2014,第 02 屆 直轄市高雄市議員選舉,,,https://vote.nccu.edu.tw/cec/E2014643.PDF,https://vote.nccu.edu.tw/cec/E2014644.PDF,https://vote.nccu.edu.tw/cec/E2014645.PDF,https://vote.nccu.edu.tw/cec/E2014646.PDF
2014,第 02 屆 直轄市新北市議員選舉,,,https://vote.nccu.edu.tw/cec/E2014653.PDF,https://vote.nccu.edu.tw/cec/E2014654.PDF,https://vote.nccu.edu.tw/cec/E2014655.PDF,https://vote.nccu.edu.tw/cec/E2014656.PDF
2014,第 02 屆 直轄市台中市議員選舉,,,https://vote.nccu.edu.tw/cec/E2014663.PDF,https://vote.nccu.edu.tw/cec/E2014664.PDF,https://vote.nccu.edu.tw/cec/E2014665.PDF,https://vote.nccu.edu.tw/cec/E2014666.PDF
2014,第 02 屆 直轄市台南市議員選舉,,,https://vote.nccu.edu.tw/cec/E2014673.PDF,https://vote.nccu.edu.tw/cec/E2014674.PDF,https://vote.nccu.edu.tw/cec/E2014675.PDF,https://vote.nccu.edu.tw/cec/E2014676.PDF
2014,第 01 屆 直轄市桃園市議員選舉,,,https://vote.nccu.edu.tw/cec/E2014683.PDF,https://vote.nccu.edu.tw/cec/E2014684.PDF,https://vote.nccu.edu.tw/cec/E2014685.PDF,https://vote.nccu.edu.tw/cec/E2014686.PDF
2018,第 13 屆 台北市議員選舉,,,https://vote.nccu.edu.tw/cec/E2018633.PDF,https://vote.nccu.edu.tw/cec/E2018634.PDF,https://vote.nccu.edu.tw/cec/E2018635.PDF,https://vote.nccu.edu.tw/cec/E2018636.PDF
2018,第 03 屆 直轄市高雄市議員選舉,,,https://vote.nccu.edu.tw/cec/E2018643.PDF,https://vote.nccu.edu.tw/cec/E2018644.PDF,https://vote.nccu.edu.tw/cec/E2018645.PDF,https://vote.nccu.edu.tw/cec/E2018646.PDF
2018,第 03 屆 直轄市新北市議員選舉,,,https://vote.nccu.edu.tw/cec/E2018653.PDF,https://vote.nccu.edu.tw/cec/E2018654.PDF,https://vote.nccu.edu.tw/cec/E2018655.PDF,https://vote.nccu.edu.tw/cec/E2018656.PDF
2018,第 03 屆 直轄市台中市議員選舉,,,https://vote.nccu.edu.tw/cec/E2018663.PDF,https://vote.nccu.edu.tw/cec/E2018664.PDF,https://vote.nccu.edu.tw/cec/E2018665.PDF,https://vote.nccu.edu.tw/cec/E2018666.PDF
2018,第 03 屆 直轄市台南市議員選舉,,,https://vote.nccu.edu.tw/cec/E2018673.PDF,https://vote.nccu.edu.tw/cec/E2018674.PDF,https://vote.nccu.edu.tw/cec/E2018675.PDF,https://vote.nccu.edu.tw/cec/E2018676.PDF
2018,第 02 屆 直轄市桃園市議員選舉,,,https://vote.nccu.edu.tw/cec/E2018683.PDF,https://vote.nccu.edu.tw/cec/E2018684.PDF,https://vote.nccu.edu.tw/cec/E2018685.PDF,https://vote.nccu.edu.tw/cec/E2018686.PDF
2022,第 14屆 台北市議員選舉,,,https://vote.nccu.edu.tw/cec/E2022633.PDF,https://vote.nccu.edu.tw/cec/E2022634.PDF,https://vote.nccu.edu.tw/cec/E2022635.PDF,https://vote.nccu.edu.tw/cec/E2022636.PDF
